店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
本格中華食べ放題 龍記お台場デックス東京ビーチ店,050-5487-6422,,東京都,港区,台場1-6-1,,https://e539609.gorp.jp/,True
食べ放題×飲み放題 喰人（EAT－MAN）梅田東通り店,050-5494-1234,,大阪府,大阪市,北区小松原町1-19,,https://k702131.gorp.jp/,True
高槻×食べ放題3時間個室居酒屋 源氣屋,050-5485-9479,,大阪府,高槻市,城北町2-11-1,,https://genkiya-takatsuki.gorp.jp/,True
焼肉＆ホルモン食べ放題江戸門 新橋店,050-5488-6203,,東京都,港区,新橋3-16-3,,https://ggxg101.gorp.jp/,True
食べ放題・飲み放題元町 de 焼肉DOURAKU,050-5487-5444,,神奈川県,横浜市,中区新山下1-2-8,,https://douraku-shinyamashita.gorp.jp/,True
完全個室と食べ放題 鳥助 池袋店,050-5486-4000,ikiru.ikebukuro@gmail.com,東京都,豊島区,東池袋1-22-7,,https://getz300.gorp.jp/,True
食べ放題 元氣七輪焼肉 牛繁 初台店,050-5487-2612,,東京都,渋谷区,初台1-37-11,,https://gd40060.gorp.jp/,True
食べ放題 元氣七輪焼肉 牛繁 ロハル津田沼店,050-5487-2701,,千葉県,習志野市,谷津7-7-1,,https://gd40080.gorp.jp/,True
食べ放題 飲み放題 個室肉バル 29○TOKYO 名駅店,050-5485-3812,,愛知県,名古屋市,中村区名駅2-36-8,,https://n989715.gorp.jp/,True
食べ放題 元氣七輪焼肉 牛繁 常盤台店,050-5487-2616,,東京都,板橋区,常盤台1-5-8,,https://gd40058.gorp.jp/,True
3時間食べ放題・飲み放題個室居酒屋 三国志 八王子北口店,050-5489-0229,,東京都,八王子市,三崎町4-9,,https://gfvy002.gorp.jp/,True
2000円 食べ放題 飲み放題いち 一 静岡駅前店,050-5484-4153,,静岡県,静岡市,葵区紺屋町7-7,,https://ncbf100.gorp.jp/,True
食べ放題 元氣七輪焼肉 牛繁 調布店,050-5486-8741,,東京都,調布市,小島町1-34-1,,https://gyushige-choufu.gorp.jp/,True
食べ放題 元氣七輪焼肉 牛繁 戸越銀座店,050-5486-8740,,東京都,品川区,戸越1-16-13,,https://gyushige-togoshiginnza.gorp.jp/,True
食べ放題 元氣七輪焼肉 牛繁 喜多見店,050-5486-8738,,東京都,世田谷区,喜多見9-2-35,,https://gyushige-kitami.gorp.jp/,True
食べ放題 元氣七輪焼肉 牛繁府中駅前店,050-5487-2617,,東京都,府中市,宮西町1-2-1,,https://gd40061.gorp.jp/,True
食べ放題 元氣七輪焼肉 牛繁 武蔵中原店,050-5486-8757,,神奈川県,川崎市,中原区上小田中6-23-7,,https://gyushige-musashinakahara.gorp.jp/,True
食べ放題 元氣七輪焼肉 牛繁 江古田店,050-5487-2620,,東京都,練馬区,栄町4-7,,https://gd40066.gorp.jp/,True
食べ放題・飲み放題 お好み焼き・もんじゃ 粉や 八王子店,050-5487-6012,,東京都,八王子市,三崎町4-4,,https://powerwoods.co.jp/,True
本格中華食べ放題紅燈記（こうとうき） 神保町,050-5494-6910,,東京都,千代田区,神田神保町1-11-6,,https://ggpa901.gorp.jp/,True
食べ放題 元氣七輪焼肉 牛繁 八王子店,050-5487-2634,,東京都,八王子市,三崎町4-9,,https://gd40077.gorp.jp/,True
